date;% Iron Feed;% Silica Feed;Starch Flow;Amina Flow;Ore Pulp Flow;Ore Pulp pH;Ore Pulp Density;Flotation Column 01 Air Flow;Flotation Column 02 Air Flow;Flotation Column 03 Air Flow;Flotation Column 04 Air Flow;Flotation Column 05 Air Flow;Flotation Column 06 Air Flow;Flotation Column 07 Air Flow;Flotation Column 01 Level;Flotation Column 02 Level;Flotation Column 03 Level;Flotation Column 04 Level;Flotation Column 05 Level;Flotation Column 06 Level;Flotation Column 07 Level;% Iron Concentrate;% Silica Concentrate
3/10/17 1.00;55,2;16,98;3071,88;599,792;401,865;10,1288;1,74505;251,796;250,873;248,511;295,096;306,4;248,687;250,906;460,274;520,326;465,768;455,236;449,244;431,132;422,287;66,91;1,31
3/10/17 1.00;55,2;16,98;3056,25;598,877;395,332;10,1286;1,7454;251,598;251,455;251,224;295,096;306,4;253,531;251,082;450,69;505,887;465,576;465,178;462,956;438,667;412,576;66,91;1,31
3/10/17 1.00;55,2;16,98;3055,86;596,71;398,438;10,1283;1,74574;251,082;251,576;252,543;295,096;306,4;251,301;250,785;454,869;264,879;464,685;476,563;469,954;460,678;418,786;66,91;1,31
3/10/17 1.00;55,2;16,98;3068,75;594,94;396,255;10,1281;1,74609;251,499;253,235;251,609;295,096;306,4;246,215;250,137;457,997;309,045;451,954;491,936;498,487;485,542;441,656;66,91;1,31
3/10/17 1.00;55,2;16,98;3078,03;592,285;398,394;10,1279;1,74643;251,521;250,433;250,291;295,096;306,4;255,07;249,829;455,319;353,211;438,98;475,176;494,714;490,694;475,199;66,91;1,31
3/10/17 1.00;55,2;16,98;3086,43;587,86;402,891;10,1276;1,74678;251,367;252,51;248,972;295,096;306,4;251,235;250,258;455,419;504,813;439,112;426,717;470,371;494,026;503,174;66,91;1,31
3/10/17 1.00;55,2;16,98;3091,11;588,715;398,379;10,1274;1,74712;251,51;248,236;248,511;295,096;306,4;254,169;250,345;448,788;514,749;445,724;418,711;449,056;497,862;517,935;66,91;1,31
3/10/17 1.00;55,2;16,98;3096,88;591,4;401,982;10,1272;1,74747;251,158;247,489;248,225;295,096;306,4;252,971;250,126;442,006;517,951;442,403;436,173;457,837;462,414;473,713;66,91;1,31
3/10/17 1.00;55,2;16,98;3097,07;599,182;401,279;10,1269;1,74781;250,928;250,521;248,785;295,096;306,4;246,478;250,192;445,96;520,894;437,793;448,28;456,13;419,708;420,054;66,91;1,31
3/10/17 1.00;55,2;16,98;3096,97;602,234;393,691;10,1267;1,74816;250,642;251,653;250,455;295,096;306,4;252,125;249,554;444,058;524,034;436,689;460,699;466,647;425,73;403,553;66,91;1,31
3/10/17 1.00;55,2;16,98;3086,23;598,236;397,295;10,1265;1,7485;250,631;250,521;251,29;295,096;306,4;251,202;249,456;448,588;367,683;434,043;465,62;482,841;459,39;411,392;66,91;1,31
3/10/17 1.00;55,2;16,98;3099,12;597,9;403,257;10,1262;1,74884;250,565;252,971;251,51;295,096;306,4;247,939;250,038;457,321;343,326;439,383;463,339;508,73;492,878;438,982;66,91;1,31
3/10/17 1.00;55,2;16,98;3109,38;603,912;406,494;10,126;1,74919;251,06;254,377;251,444;295,096;306,4;254,344;250,697;462,551;318,969;446,129;462,363;500,438;493,858;472,14;66,91;1,31
3/10/17 1.00;55,2;16,98;3116,99;603,912;409,995;10,1258;1,74953;251,51;254,081;251,082;295,096;306,4;251,96;249,642;454,193;501,468;455,546;428,479;466,37;478,178;492,303;66,91;1,31
3/10/17 1.00;55,2;16,98;3121,09;600,433;409,995;10,1255;1,74988;251,158;250,433;249,928;295,096;306,4;245,731;249,236;444,058;524,352;455,839;402,796;435,939;479,606;504,306;66,91;1,31
3/10/17 1.00;55,2;16,98;3121,09;599,365;409,277;10,1253;1,74978;250,928;248,511;249,39;295,096;306,4;244,116;249,39;441,431;515,43;453,76;398,83;426,3;483,33;508,17;66,91;1,31
3/10/17 1.00;55,2;16,98;3104,59;604,126;408,706;10,125;1,74943;250,928;247,083;248,676;295,096;306,4;253,828;250,961;448,588;507,702;459,025;422,444;420,931;455,666;478,758;66,91;1,31
3/10/17 1.00;55,2;16,98;3088,09;606,689;403,638;10,1248;1,74909;251,213;249,313;248,719;295,096;306,4;256,63;250,807;455,044;531,516;461,86;441,758;421,979;421,836;429,568;66,91;1,31
3/10/17 1.00;55,2;16,98;3090,33;603,912;402,217;10,1246;1,74874;250,796;248,785;248,665;295,096;306,4;248,181;249,697;453,843;523,018;464,31;440,233;431,621;412,732;402,646;66,91;1,31
3/10/17 1.00;55,2;16,98;3103,91;607,574;401,499;10,1243;1,7484;250,774;247,632;248,796;295,096;306,4;250,763;249,675;444,634;505,917;456,862;471,521;452,134;433,711;394,947;66,91;1,31
3/10/17 1.00;55,2;16,98;3134,77;610,748;409,351;10,1241;1,74806;251,213;247,775;248,95;295,096;306,4;250,225;251,543;453,117;216,37;451,438;498,219;473,889;466,166;412,048;66,91;1,31
3/10/17 1.00;55,2;16,98;3153,52;608,582;406,538;10,1238;1,74771;251,367;247,709;250,521;295,096;306,4;245,929;249,895;458,647;308,4095;445,802;492,324;491,932;491,562;449,351;66,91;1,31
3/10/17 1.00;55,2;16,98;3152,44;607,697;397,397;10,1234;1,74737;251,082;248,632;251,653;295,096;306,4;246,632;248,796;459,248;400,449;442,619;467,928;487,523;494,642;485,909;66,91;1,31
3/10/17 1.00;55,2;16,98;3152,93;605,133;393,677;10,1231;1,74702;250,928;251,455;252,092;295,096;306,4;251,202;250,093;450,189;520,246;442,781;420,487;474,416;490,47;514,187;66,91;1,31
3/10/17 1.00;55,2;16,98;3172,07;601,654;396,211;10,1227;1,74668;251,071;250,543;251,96;295,096;306,4;255,839;251,993;443,958;526,448;444,023;410,289;454,614;509,146;531,676;66,91;1,31
3/10/17 1.00;55,2;16,98;3203,22;601,379;399,185;10,1224;1,74633;250,576;248,533;250,95;295,096;306,4;248,73;251,115;451,891;510,533;444,941;430,856;443,27;476,05;482,152;66,91;1,31
3/10/17 1.00;55,2;16,98;3209,77;600,22;397,046;10,122;1,74599;250,411;251,213;249,631;295,096;306,4;250,4;250,411;454,168;505,434;443,726;445,664;455,692;432,139;421,79;66,91;1,31
3/10/17 1.00;55,2;16,98;3193,07;596,588;399,507;10,1217;1,74565;250,345;246,05;248,599;295,096;306,4;254,213;250,488;457,171;381,078;447,533;457,598;462,853;429,902;395,663;66,91;1,31
3/10/17 1.00;55,2;16,98;3176,66;597,473;397,09;10,1213;1,7453;249,983;247,357;248,291;295,096;306,4;247,731;251,06;450,014;365,787;452,44;454,238;470,889;467,006;406,065;66,91;1,31
3/10/17 1.00;55,2;16,98;3173,14;605,103;390,63;10,121;1,74496;250,115;249,62;248,291;295,096;306,4;249,258;249,225;437,452;350,496;453,058;460,153;472,818;501,558;431,224;66,91;1,31
3/10/17 1.00;55,2;16,98;3175,1;606,934;400,474;10,1206;1,74461;250,554;249,39;248,434;295,096;306,4;252,883;248,643;441,556;503,482;449,878;435,155;462,52;495,118;455,724;66,91;1,31
3/10/17 1.00;55,2;16,98;3162,48;600,789;404,757;10,1203;1,74427;250,429;249,39;250,007;295,096;306,4;248,72;250,718;442,527;513,869;450,37;413,915;449,857;484,263;475,643;66,91;1,31
3/10/17 1.00;55,2;16,98;3148,44;597,168;404,473;10,1199;1,74392;250,001;247,939;251,587;295,096;306,4;245,215;249,565;454,543;514,864;456,136;419,376;429,496;467,314;472,86;66,91;1,31
3/10/17 1.00;55,2;16,98;3153,91;604,614;401,836;10,1196;1,74358;250,225;248,027;251,895;295,096;306,4;250,972;248,599;454,644;510,106;457,54;430,388;425,422;428,444;448,36;66,91;1,31
3/10/17 1.00;55,2;16,98;3177,73;601,318;398,027;10,1192;1,74324;250,488;251,367;251,411;295,096;306,4;256,289;251,323;446,335;506,026;452,578;456,48;440,518;423,854;418,566;66,91;1,31
3/10/17 1.00;55,2;16,98;3176,56;597,534;399,785;10,1189;1,74289;250,093;251,147;251,411;295,096;306,4;249,17;250,005;447,336;485,18;452,9;474,06;453,736;442,226;408,966;66,91;1,31
3/10/17 1.00;55,2;16,98;3155,08;594,727;396,914;10,1185;1,74255;249,961;253,389;250,269;295,096;306,4;249,565;249,521;446,836;255,22;454,84;480,7;467,282;469,218;421,1;66,91;1,31
3/10/17 1.00;55,2;16,98;3134,77;591,675;393,223;10,1181;1,7422;249,785;255,762;249,39;295,096;306,4;254,795;250,093;451,741;319,679;447,394;482,108;482,922;483,666;441,402;66,91;1,31
3/10/17 1.00;55,2;16,98;3125,78;590,698;404,297;10,1178;1,74186;250,137;252,861;249,126;295,096;306,4;253,389;250,225;451,44;384,138;450,2;466,796;477,528;481,874;476,714;66,91;1,31
3/10/17 1.00;55,2;16,98;3126,17;603,394;407,695;10,1174;1,74151;250,752;250,664;248,95;295,096;306,4;249,565;249,038;454,143;513,28;444,052;424,138;449,99;484,226;507,618;66,91;1,31
3/10/17 1.00;55,2;16,98;3129,3;602,661;391,523;10,1171;1,74117;250,664;250,356;248,95;295,096;306,4;246,357;251,104;454,644;528,798;440,058;399,376;422,232;497,106;519,426;66,91;1,31
3/10/17 1.00;55,2;16,98;3133,2;603,638;390;10,1167;1,74083;250,752;245,918;248,687;295,096;306,4;248,643;250,488;449,739;529,25;445,022;417,346;414,85;462,722;469,102;66,91;1,31
3/10/17 1.00;55,2;16,98;3141,8;605,225;391,406;10,1164;1,74048;250,796;250,796;248,906;295,096;306,4;253,828;249,653;446,135;522,112;450,632;453,672;423,992;423,74;409,732;66,91;1,31
3/10/17 1.00;55,2;16,98;3155,86;591,309;395,918;10,116;1,74014;250,313;254,399;251,411;295,096;306,4;250,752;251,191;448,538;513,844;451,282;473,592;438,972;421,496;376,516;66,91;1,31
3/10/17 1.00;55,2;16,98;3162,11;583,496;400,488;10,1157;1,73959;250,049;253,345;252,905;295,096;306,4;247,412;251,807;450,94;510,9;449,99;476,56;445,58;425,08;365,26;66,91;1,31
3/10/17 1.00;55,2;16,98;3164,45;584,961;393,809;10,1153;1,7389;250,181;249,521;252,905;295,096;306,4;245,698;250,093;449,739;504,78;452,576;481,012;455,498;445,918;385,786;66,91;1,31
3/10/17 1.00;55,2;16,98;3167,19;595,093;393,75;10,115;1,73821;250,269;244,995;251,719;295,096;306,4;251,279;249,741;442,031;270,966;448,474;483,98;476,318;488,706;430,592;66,91;1,31
3/10/17 1.00;55,2;16,98;3177,34;596,069;397,207;10,1146;1,73752;250,532;247,764;250,269;295,096;306,4;255,762;252,114;449,438;312,939;448,148;488,672;490,746;511,33;472,196;66,91;1,31
3/10/17 1.00;55,2;16,98;3184,77;584,595;400,02;10,1143;1,73683;250,576;248,115;249,302;295,096;306,4;248,115;250,313;456,846;354,912;454,084;462,97;485,788;510,882;498,016;66,91;1,31
3/10/17 1.00;55,2;16,98;3185,55;586,182;404,648;10,1139;1,73614;250,488;250,488;249,214;295,096;306,4;250,137;248,95;450,139;510,332;461,638;422,888;451,528;510,098;513,904;66,91;1,31
3/10/17 1.00;55,2;16,98;3182,03;595,947;407,168;10,1135;1,73545;250,62;252,334;249,39;295,096;306,4;256,465;251,499;440,53;518,6;465,414;405,704;433,686;513,794;512,252;66,91;1,31
3/10/17 1.00;55,2;16,98;3180,86;600,464;402,598;10,113;1,73476;250,576;250,62;249,258;295,096;306,4;250,137;250,269;443,833;510,446;456,246;415,706;428,618;481,874;468,224;66,91;1,31
3/10/17 1.00;55,2;16,98;1272,66;594,971;393,516;10,1125;1,73407;250,488;249,302;249,302;295,096;306,4;247,983;248,511;453,242;502,968;451,604;441,878;427,296;433,372;412,824;66,91;1,31
3/10/17 1.00;55,2;16,98;1442,58;594,849;393,691;10,1121;1,73338;250,488;251,455;249,653;295,096;306,4;251,411;250,225;454,043;491,868;452,032;463,984;446,574;417,128;381,814;66,91;1,31
3/10/17 1.00;55,2;16,98;1612,5;594,238;398,145;10,1116;1,73269;250,093;253,125;249,302;295,096;306,4;253,784;250,84;454,844;483,262;444,478;469,764;460,896;446,702;382,034;66,91;1,31
3/10/17 1.00;55,2;16,98;2906,64;593,872;397,91;10,1111;1,732;249,961;251,543;249,741;295,096;306,4;256,113;249,038;454,043;437,608;435,848;466,794;467,616;484,45;415,47;66,91;1,31
3/10/17 1.00;55,2;16,98;3086,72;589,966;396,27;10,1107;1,73131;250,313;250,752;250,928;295,096;306,4;250,884;249,126;449,739;238,118;433,584;476,714;490,084;494,418;458,728;66,91;1,31
3/10/17 1.00;55,2;16,98;3114,06;591,675;400,195;10,1102;1,73062;250,093;250,005;251,104;295,096;306,4;245,435;251,543;440,129;323,078;432,504;473,594;492,618;494,194;490,288;66,91;1,31
3/10/17 1.00;55,2;16,98;3111,33;590,332;399,434;10,1097;1,72993;250,488;250,049;251,455;295,096;306,4;250,62;250,181;440,93;479,522;441,354;439,452;468,936;497,106;508,054;66,91;1,31
3/10/17 1.00;55,2;16,98;3137,89;591,553;391,523;10,1093;1,72924;250,532;249,434;251,675;295,096;306,4;253,213;248,511;449,438;508,18;444,266;412,81;442,826;502,818;527,038;66,91;1,31
3/10/17 1.00;55,2;16,98;3181,64;587,891;387,715;10,1088;1,72855;250,532;247,939;251,455;295,096;306,4;246,841;249,961;450,94;514,184;441,242;405,392;432,91;471,794;491,946;66,91;1,31
3/10/17 1.00;55,2;16,98;3192,58;581,299;395,684;10,1083;1,72786;250,313;248,599;250,181;295,096;306,4;247,456;251,982;453,843;515,996;452,792;418,832;429,61;435,388;428,938;66,91;1,31
3/10/17 1.00;55,2;16,98;3189,45;585,693;403,359;10,1078;1,72717;250,313;249,258;249,39;295,096;306,4;252,114;250,708;447,136;518,602;456,568;452,658;436,992;419,816;393,072;66,91;1,31
3/10/17 1.00;55,2;16,98;3178,91;589,6;397,676;10,1074;1,72648;250,356;249,961;249,126;295,096;306,4;251,104;249,521;454,744;513,052;456,676;465,702;448,996;438,078;382,364;66,91;1,31
3/10/17 1.00;55,2;16,98;3160,16;586,304;395,156;10,1069;1,72579;250,4;248,379;249,082;295,096;306,4;247,632;250,4;454,644;276,064;457,648;480,548;467,614;465,522;398,81;66,91;1,31
3/10/17 1.00;55,2;16,98;3161,72;585,938;390,527;10,1064;1,7251;250,752;245,127;249,17;295,096;306,4;252,114;251,455;443,933;323,586;454,732;492,502;489,428;490,946;425,078;66,91;1,31
